Individual,seed,Vmean,Vstd,Amean,Astd,M,Cd,Cd_error,Re,Re_error
Teosinte,6,4.234113051,0.09133412,2.47E-05,NaN,5.41E-05,1.99332455,0.085996072,1584.048513,34.16953582
Teosinte,7,4.589397269,0.08835943,2.07E-05,NaN,5.18E-05,1.938886774,0.074658575,1571.913833,30.26397636
Teosinte,8,4.364391117,0.089065276,1.83E-05,NaN,3.88E-05,1.825483583,0.074506246,1402.580878,28.62283643
Teosinte,9,4.151633946,0.083509661,1.41E-05,NaN,2.05E-05,1.383900128,0.055673998,1172.085544,23.57637206
Teosinte,10,4.353960081,0.174721769,1.86E-05,NaN,2.78E-05,1.287741814,0.103352591,1412.812608,56.69531053
kellogg1287_M07,1,0.302922158,0.010154926,1.81E-06,8.60E-07,2.87E-07,27.96022191,13.39544212,28.76147533,4.581237613
kellogg1287_M07,2,0.258814905,0.031263355,1.79E-06,7.94E-07,3.06E-07,41.36833284,20.87979911,24.43208197,3.751818737
kellogg1287_M07,3,0.252167437,0.024331205,1.89E-06,6.63E-07,3.40E-07,45.77013763,18.31140126,24.46518799,3.370787722
kellogg1287_M07,4,0.210660268,0.030829081,2.47E-06,1.17E-06,3.87E-07,57.21424112,31.87586799,23.34073733,3.716413935
kellogg1287_M07,5,0.314518797,0.040618269,1.68E-06,9.35E-07,3.76E-07,36.56663429,22.39983642,28.7775866,5.033231682
kellogg1287_M07,6,0.318113198,0.020977492,2.34E-06,1.47E-06,3.36E-07,23.06958866,14.81588412,34.29256426,6.506386112
kellogg1287_M07,7,0.269416562,0.07292997,2.28E-06,1.12E-06,3.91E-07,38.34401995,28.0864791,28.66584694,4.668340358
kellogg1287_M07,8,0.345885734,0.028001848,2.16E-06,1.99E-06,3.92E-07,24.5604173,22.9785564,35.88165312,9.104100525
kellogg1287_M07,9,0.322812239,0.032717312,1.75E-06,1.00E-06,3.71E-07,33.00734554,20.06240341,30.12364652,5.374257781
kellogg1287_M07,10,0.356952991,0.040396203,2.07E-06,1.04E-06,3.76E-07,23.14725387,12.81763419,36.1987707,5.977677937
kellogg1287_M07,11,0.299318182,0.023240188,1.70E-06,8.71E-07,3.71E-07,39.55282765,21.19047087,27.51475178,4.582595575
kellogg1287_M07,12,0.286961253,0.028002842,1.43E-06,6.98E-07,4.19E-07,57.55561907,30.19836914,24.2271991,3.916413834
kellogg1287_M07,13,0.266162203,0.029911979,1.69E-06,1.03E-06,3.45E-07,46.60082354,30.22362294,24.43456685,4.534514234
kellogg1287_M07,14,0.260748643,0.031473093,1.25E-06,4.39E-07,3.47E-07,66.25335466,28.26967229,20.54304783,2.834913214
kellogg1287_M07,15,0.303817246,0.034060585,2.54E-06,2.35E-06,3.33E-07,22.98808529,21.88257068,34.17412398,8.699176323
kellogg1287_M07,16,0.284673579,0.018967708,1.57E-06,6.35E-07,3.08E-07,39.34329032,16.76845545,25.13872902,3.690376564
kellogg1287_M07,17,0.329415534,0.037727587,1.48E-06,5.94E-07,2.89E-07,29.28384666,13.56074427,28.23105411,4.13277158
kellogg1287_M07,18,0.414177869,0.048672499,1.15E-06,5.31E-07,2.68E-07,22.1078917,11.4840221,31.27862228,4.917699496
kellogg1287_M07,19,0.351587555,0.030264696,1.80E-06,6.74E-07,3.79E-07,27.65345104,11.4172122,33.23703004,4.713118389
kellogg1287_M07,20,0.303832263,0.036961745,2.12E-06,1.36E-06,3.57E-07,29.6416495,20.41838117,31.16991617,6.016960675
